Time,co2,temp,hum,lux,rad
32400,200,16.44055948,58.38354343,0,0
32700,200,16.43779675,58.32858029,0,0
33000,200,16.43524654,58.29087497,0,0
33300,200,16.42412478,58.26957023,0,0
33600,200,16.41356973,58.27250048,0,0
33900,200,16.39826846,58.27529529,0,0
34200,200,16.38360475,58.27254989,0,0
34500,200,16.37085369,58.27522642,0,0
34800,200,16.35810264,58.27071069,0,0
35100,200,16.34662669,58.27506815,0,0
35400,200,16.33175047,58.26357478,0,0
35700,200,16.32048704,58.26693621,0,0
36000,200,16.31283642,58.27703222,0,0
36300,200,16.29817271,58.28194157,0,0
36600,200,16.28584671,58.28749677,0,0
36900,200,16.2784086,58.29705968,0,0
37200,200,16.26948287,58.3043132,0,0
37500,200,16.25800694,58.30240566,0,0
37800,200,16.24844366,58.30932064,0,0
38100,200,16.24079304,58.30998159,0,0
38400,200,16.2254918,58.29955233,0,0
38700,200,16.22067474,58.29075426,0,0
39000,200,16.21401587,58.28720805,0,0
39300,200,16.20317749,58.24984536,0,0
39600,200,16.19106401,58.24373595,0,0
39900,200,16.18270501,58.22102004,0,0
40200,200,16.17129992,58.19484443,0,0
40500,200,16.16683706,58.17655583,0,0
40800,200,16.15606953,58.15798589,0,0
41100,200,16.14579788,58.16378822,0,0
41400,200,16.13878481,58.15234385,0,0
41700,200,16.12667134,58.14623733,0,0
42000,200,16.1215001,58.10326169,0,0
42300,200,16.12029584,58.0791687,0,0
42600,200,16.12220849,58.09247169,0,0
42900,200,16.13340105,58.10131845,0,0
43200,200,16.14834808,58.05537089,0,0
43500,200,16.159824,57.92647078,0,0
43800,200,16.17958809,57.78818052,0,0
44100,200,16.19233912,57.65985078,0,0
44400,200,16.20764035,57.54515078,0,0
44700,200,16.21210321,57.46322328,0,0
45000,200,16.22010803,57.40557099,0,0
45300,200,16.22612935,57.34551082,0,0
45600,200,16.23314242,57.30335456,0,0
45900,200,16.23760528,57.24229498,0,0
46200,200,16.24334324,57.20178163,0,0
46500,200,16.25163142,57.1273449,0,0
46800,200,16.26565756,57.05971966,0,0
47100,200,16.26771189,57.0209008,0,0
47400,200,16.2771335,56.98153944,0,0
47700,200,16.28095881,56.95106887,0,0
48000,200,16.28669678,56.93320875,0,0
48300,200,16.28698013,56.92393828,4.17,0.032943
48600,200,16.28223391,56.93580667,4.3775,0.03458225
48900,200,16.25673183,57.01131168,10.6225,0.08391775
49200,200,16.22294159,57.13309171,13.855,0.1094545
49500,200,16.20424008,57.20754488,18.05333333,0.142621333
49800,200,16.19425177,57.25506474,23.33125,0.184316875
50100,200,16.18405095,57.28455566,29.7925,0.23536075
50400,200,16.16627035,57.33397914,32.96111111,0.260392778
50700,200,16.1585489,57.40037572,40.93625,0.323396375
51000,200,16.14388522,57.45889257,52.2925,0.41311075
51300,200,16.12922155,57.53062448,68.54125,0.541475875
51600,200,16.11979996,57.5997944,88.88888889,0.702222222
51900,200,16.10818237,57.65286258,115.2075,0.91013925
52200,200,16.10244441,57.70131371,141.66625,1.119163375
52500,200,16.10435706,57.72296477,166.66625,1.316663375
52800,200,16.10166518,57.70475837,186.0177778,1.469540445
53100,200,16.09798156,57.69346598,212.50125,1.678759875
53400,200,16.09989421,57.69007078,223.3325,1.76432675
53700,200,16.09826491,57.68543894,229.3544444,1.811900111
54000,200,16.10180686,57.66997841,242.39625,1.914930375
54300,200,16.10244441,57.65330859,248.645,1.9642955
54600,200,16.10435706,57.62695395,258.3325,2.04082675
54900,200,16.02232565,57.06560419,270.0922222,2.133728555
55200,200,15.38711535,55.78774961,247.29,1.953591
55500,200,15.3813774,55.1731647,288.75,2.281125
55800,200,15.50321953,55.07940006,284.9077778,2.250771445
56100,200,15.60324355,54.99248027,279.48125,2.207901875
56400,200,15.67974925,54.93971931,268.75,2.123125
56700,200,15.73649102,54.92098134,234.89375,1.855660625
57000,200,15.79677476,54.97117639,208.2411111,1.645104778
57300,200,15.83403594,55.02414722,215.625,1.7034375
57600,200,15.8544375,55.04370555,260.835,2.0605965
57900,200,15.87101378,55.12435882,215.5225,1.70262775
58200,200,15.89141535,55.18505789,287.7777778,2.273444445
58500,200,15.92329282,55.22934258,341.5625,2.69834375
58800,200,15.95325765,55.27990022,379.68875,2.999541125
59100,200,15.96735459,55.3401403,367.5922222,2.903978555
59400,200,15.9717466,55.39196703,398.85375,3.150944625
59700,200,15.9819474,55.41602369,411.45875,3.250524125
60000,200,16.00815779,55.42151927,397.915,3.1435285
60300,200,16.0304012,55.45130194,415.9266667,3.285820667
60600,200,16.06482892,55.43940341,488.85375,3.861944625
60900,200,16.10371951,55.41514348,494.27125,3.904742875
61200,200,16.13623461,55.39983865,512.1277778,4.045809445
61500,200,16.17066237,55.37385071,508.43875,4.016666125
61800,200,16.2044526,55.34311318,499.89625,3.949180375
62100,200,16.24617681,55.26291526,524.895,4.1466705
62400,200,16.28478412,55.18598741,475.2777778,3.754694445
62700,200,16.30454824,55.13518997,477.71,3.773909
63000,200,16.31984949,55.12462194,490.625,3.8759375
63300,200,16.24787704,54.75967709,552.5,4.36475
63600,200,15.92329282,54.14766245,571.145,4.5120455
63900,200,15.5165376,52.17193249,867.9175,6.85654825
64200,200,14.93828428,51.84506323,700.4175,5.53329825
64500,200,15.19493096,51.58497125,678.8911111,5.363239778
64800,200,15.47190894,51.30958656,632.29125,4.995100875
65100,200,15.682937,51.19391927,620.10375,4.898819625
65400,200,15.85174564,51.22824735,511.4811111,4.040700778
65700,200,15.989598,51.4265138,595.8325,4.70707675
66000,200,16.09543136,51.54532976,576.04125,4.550725875
66300,200,16.17895054,51.61333339,652.70875,5.156399125
66600,200,16.23314242,51.7797119,618.8877778,4.889213445
66900,200,16.26502001,52.02932966,618.43625,4.885646375
67200,200,16.28542167,52.20703459,612.5,4.83875
67500,200,16.29378069,52.41054801,529.7925,4.18536075
67800,200,16.29179719,52.6234078,446.1111111,3.524277778
68100,200,16.29370985,52.79215552,414.585,3.2752215
68400,200,16.28287146,52.93817525,322.29,2.546091
68700,200,16.26204477,53.06255401,203.6111111,1.608527778
69000,200,16.25800694,53.20985732,221.66625,1.751163375
69300,200,16.29498495,53.34490411,525.00125,4.147509875
69600,200,16.33260054,53.59637928,587.8125,4.64371875
69900,200,16.36348642,53.93576287,596.2966667,4.710743667
70200,200,16.36320306,54.28596533,342.70875,2.707399125
70500,,16.38743006,54.40808506,301.87375,2.384802625
70800,,16.35700969,55.05127843,278.0942857,2.196944857
71100,,16.35746509,55.26536853,433.54125,3.424975875
71400,,16.37467901,55.48546246,441.9057143,3.491055143
71700,,16.39198401,55.72775392,516.66875,4.081683125
72000,,16.40209378,55.98667759,583.645,4.6107955
72300,,16.41311434,56.15209839,596.9042857,4.715543857
72600,,16.39890602,56.15580831,680.52,5.376108
72900,,16.43907186,56.11980019,771.35375,6.093694625
73200,,16.45318911,56.27789147,568.9271429,4.494524429
73500,,16.47860016,56.41465204,665.4175,5.25679825
73800,,16.51366561,56.52405196,,0
74100,,16.52450402,56.66869345,,0
74400,,16.51047784,56.89937276,,0
74700,,16.4888921,57.10642417,,0
75000,,16.46648665,57.23113149,,0
75300,,16.43078367,57.30691119,,0
75600,,16.40400644,57.32108817,,0
75900,,16.3963558,57.32215455,,0
76200,,,,,0
76500,201,16.54681841,57.38150085,470,3.713
76800,258.6428571,16.65052725,57.18249556,656.11,5.183269
77100,403,16.7207433,56.86937257,751.833,5.9394807
77400,403,16.76826242,56.79161354,848.4033333,6.702386333
77700,403.75,16.87208743,56.63516723,876.8945455,6.927466909
78000,404,16.90384933,56.45742942,858.4033333,6.781386333
78300,404,16.91984621,56.44797637,632.5754545,4.997346091
78600,404,16.92850152,56.43936708,831.3183333,6.567414833
78900,404,16.94442112,56.40839799,878.4090909,6.939431818
79200,404,16.97038707,56.38459299,880.6818182,6.957386364
79500,404,16.99693263,56.32542934,1004.861667,7.938407169
79800,404,17.02046429,56.28160833,1037.651818,8.197449362
80100,404,17.04028653,56.2569526,1082.639167,8.552849419
80400,404,17.05686302,56.23296818,1101.25,8.699875
80700,404,17.0584859,56.24508124,867.9554545,6.856848091
81000,404,17.05941325,56.25780086,882.8790909,6.974744818
81300,404,17.06748898,56.26687406,930.6933333,7.352477333
81600,404,17.03854773,56.34066655,728.4081818,5.754424636
81900,404,16.9943824,56.47410704,481.5966667,3.804613667
82200,404.25,16.98568844,56.48106783,765.0009091,6.043507182
82500,405,16.99225721,56.45263489,842.2908333,6.654097583
82800,405,17.01072705,56.41208471,980.8327273,7.748578546
83100,404.75,16.9096454,54.7043227,1120.38,8.851002
83400,401.7272727,16.34917704,51.01206411,1363.4025,10.77087975
83700,400,15.96467562,49.2633011,1343.181818,10.61113636
84000,400,15.93944408,49.160991,1023.749167,8.087618419
84300,400,16.07734812,49.00078939,1124.166364,8.880914276
84600,400,16.27352072,48.86718886,1107.221667,8.747051169
84900,400,16.42185793,48.93692555,934.3936364,7.381709728
85200,400,16.3383965,48.87862103,1212.045455,9.575159095
